Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
61,f,r,c,0,19.968,2.760003135,Car,False
61,f,r,c,0,19.968,2.140000463,Car,False
61,f,r,c,0,19.968,1.769996434,Car,False
61,f,r,c,0,19.968,9.729991481,Car,False
61,f,r,c,0,19.968,19.342,Car,True
62,m,r,c,0,16.532,0.295006435,Car,False
62,m,r,c,0,16.532,1.779994369,Car,False
62,m,r,c,0,16.532,5.029996857,Car,False
62,m,r,c,0,16.532,3.000003844,Car,False
62,m,r,c,0,16.532,2.020005137,Car,False
62,m,r,c,0,16.532,1.800000295,Car,False
62,m,r,c,0,16.532,10.603,Car,True
63,m,r,c,0,11.328,4.422996516,Car,False
63,m,r,c,0,11.328,1.509999856,Car,False
63,m,r,c,0,11.328,1.809998229,Car,False
63,m,r,c,0,11.328,2.190000191,Car,False
63,m,r,c,0,11.328,7.755,Car,True
64,f,r,c,0,4.797,2.132996868,Car,False
64,f,r,c,0,4.797,11.906,Car,True
65,f,r,c,1,7.875,5.109001647,Car,False
65,f,r,c,1,7.875,11.894,Car,True
66,m,r,c,0,9.453,3.437003072,Car,False
66,m,r,c,0,9.453,8.644,Car,True
67,f,r,c,1,3.188,0.0,Artificial,False
67,f,r,c,1,3.188,6.332,Car,True
68,m,r,c,1,7.344,4.238004561,Car,False
68,m,r,c,1,7.344,2.219993994,Car,False
68,m,r,c,1,7.344,6.065,Car,True
69,f,r,c,1,10.797,0.285994212,Car,False
69,f,r,c,1,10.797,6.951008365,Car,False
69,f,r,c,1,10.797,7.61,Car,True
70,m,r,c,0,9.469,2.518007855,Car,False
70,m,r,c,0,9.469,2.119994536,Car,False
70,m,r,c,0,9.469,4.219,Car,True
71,m,r,c,0,8.157,3.382001154,Car,False
71,m,r,c,0,8.157,21.667,Van,True
73,m,r,c,0,12.672,1.372995973,Car,False
73,m,r,c,0,12.672,6.833008386,Car,False
73,m,r,c,0,12.672,17.717,Car,True
74,m,r,c,0,7.172,3.249000467,Car,False
74,m,r,c,0,7.172,2.090996504,Car,False
74,m,r,c,0,7.172,21.256,Car,True
75,m,r,c,0,3.828,1.997005649,Van,False
75,m,r,c,0,3.828,20.805,Car,True
76,m,r,c,0,4.406,0.0,Artificial,False
76,m,r,c,0,4.406,66.409,Car,True
77,f,r,c,0,7.531,5.637993746,Car,False
77,f,r,c,0,7.531,11.351,Car,True
78,m,r,c,0,2.907,0.0,Artificial,False
78,m,r,c,0,2.907,13.168,Car,True
80,m,r,c,0,5.297,0.0,Artificial,False
80,m,r,c,0,5.297,9.988,Van,True
81,f,r,c,0,8.406,4.340998165,Car,False
81,f,r,c,0,8.406,20.068,Van,True
82,m,r,c,0,6.281,0.0,Artificial,False
82,m,r,c,0,6.281,16.349,Van,True
83,m,r,c,0,7.438,0.0,Artificial,False
83,m,r,c,0,7.438,15.697,Car,True
85,m,r,c,1,29.765,1.967997558,Car,False
85,m,r,c,1,29.765,24.323,Car,True
86,f,r,c,0,6.937,0.0,Artificial,False
86,f,r,c,0,6.937,25.26,Car,True
89,m,r,c,0,6.296,0.0,Artificial,False
89,m,r,c,0,6.296,10.554,Car,True
90,m,r,c,1,16.162,4.399000481,Car,False
90,m,r,c,1,16.162,5.13200069,Car,False
90,m,r,c,1,16.162,6.13,Car,True
91,f,r,c,0,14.04,6.287000701,Car,False
91,f,r,c,0,14.04,0.982003083,Car,False
91,f,r,c,0,14.04,6.473994255,Car,False
91,f,r,c,0,14.04,24.242,Van,True
92,m,r,c,0,0.593,0.0,Artificial,False
92,m,r,c,0,0.593,7.254,Van,True
93,m,r,c,0,32.775,1.451008022,Car,False
93,m,r,c,0,32.775,2.059001103,Car,False
93,m,r,c,0,32.775,2.387001738,Van,False
93,m,r,c,0,32.775,1.481997594,Car,False
93,m,r,c,0,32.775,1.512997225,Car,False
93,m,r,c,0,32.775,3.354,Car,True
94,m,r,c,0,0.951,0.0,Artificial,False
94,m,r,c,0,0.951,39.967,Car,True
96,m,r,c,0,14.945,3.384994715,Car,False
96,m,r,c,0,14.945,3.417000175,Car,False
96,m,r,c,0,14.945,3.586998006,Car,False
96,m,r,c,0,14.945,8.813,Car,True
97,m,r,c,0,8.627,8.049003576,Car,False
97,m,r,c,0,8.627,19.468,Van,True
98,m,r,c,0,4.275,0.0,Artificial,False
98,m,r,c,0,4.275,14.008,Van,True
99,f,r,c,0,5.116,2.573002298,Van,False
99,f,r,c,0,5.116,6.567,Car,True
100,f,r,c,2,18.205,4.975000938,Car,False
100,f,r,c,2,18.205,11.794,Car,True
101,m,r,c,1,18.735,6.130996719,Van,False
101,m,r,c,1,18.735,2.372004837,Car,False
101,m,r,c,1,18.735,2.759995853,Car,False
101,m,r,c,1,18.735,9.049,Car,True
102,m,r,c,0,13.666,5.070001428,Van,False
102,m,r,c,0,13.666,2.511996031,Car,False
102,m,r,c,0,13.666,6.443,Car,True
103,m,r,c,0,11.84,1.680993457,Car,False
103,m,r,c,0,11.84,3.71199958,Car,False
103,m,r,c,0,11.84,9.06,Van,True
104,m,r,c,0,1.841,0.0,Artificial,False
104,m,r,c,0,1.841,17.265,Car,True
105,m,r,c,2,20.888,5.787999183,Car,False
105,m,r,c,2,20.888,2.184005454,Car,False
105,m,r,c,2,20.888,2.136993036,Car,False
105,m,r,c,2,20.888,3.837999701,Car,False
105,m,r,c,2,20.888,33.021,Bus,True
106,m,r,c,0,11.841,0.402002205,Car,False
106,m,r,c,0,11.841,2.199002355,Car,False
106,m,r,c,0,11.841,27.467,Bus,True
107,m,r,c,0,0.952,0.0,Artificial,False
107,m,r,c,0,0.952,11.119,Bus,True
108,m,r,c,1,6.225,3.053999488,Car,False
108,m,r,c,1,6.225,23.989,Car,True
109,f,r,c,0,6.77,0.57299303,Car,False
109,f,r,c,0,6.77,20.963,Car,True
110,m,r,c,1,9.048,1.634001155,Car,False
110,m,r,c,1,9.048,14.769,Bus,True
111,m,r,c,0,12.355,0.823001732,Car,False
111,m,r,c,0,12.355,2.214995027,Car,False
111,m,r,c,0,12.355,1.155002788,Car,False
111,m,r,c,0,12.355,10.651,Bus,True
112,f,r,c,0,15.631,6.87500069,Bus,False
112,f,r,c,0,15.631,5.163993314,Car,False
112,f,r,c,0,15.631,1.903007179,Car,False
112,f,r,c,0,15.631,13.786,Car,True
113,f,r,c,0,1.903,0.0,Artificial,False
113,f,r,c,0,1.903,23.614,Car,True
114,f,r,c,0,11.716,0.905004144,Car,False
114,f,r,c,0,11.716,1.399995183,Disturbance,False
114,f,r,c,0,11.716,12.382,Car,True
115,m,r,c,0,2.777,0.0,Artificial,False
115,m,r,c,0,2.777,10.635,Car,True
116,m,r,c,1,7.441,0.854001363,Car,False
116,m,r,c,1,7.441,27.718,Car,True
117,m,r,c,0,3.151,0.790996273,Car,False
117,m,r,c,0,3.151,25.471,Car,True
118,m,r,c,0,1.685,0.0,Artificial,False
118,m,r,c,0,1.685,22.741,Car,True
119,m,r,c,0,2.87,0.0,Artificial,False
119,m,r,c,0,2.87,18.373,Car,True
120,m,r,c,0,2.558,2.039993723,Car,False
120,m,r,c,0,2.558,11.681,Van,True
121,m,r,c,0,9.392,0.0,Artificial,False
121,m,r,c,0,9.392,4.972,Car,True
122,m,r,c,0,2.808,0.0,Artificial,False
122,m,r,c,0,2.808,29.827,Car,True
123,m,r,c,0,1.217,0.0,Artificial,False
123,m,r,c,0,1.217,19.749,Car,True
125,f,r,c,0,2.761,1.965994929,Car,False
125,f,r,c,0,2.761,9.391,Car,True
126,f,r,c,0,1.544,0.0,Artificial,False
126,f,r,c,0,1.544,11.902,Car,True
127,m,r,c,1,5.476,2.371001785,Car,False
127,m,r,c,1,5.476,1.014005765,Car,False
127,m,r,c,1,5.476,1.82499513,Car,False
127,m,r,c,1,5.476,13.181,Car,True
128,m,r,c,0,3.214,1.263001357,Car,False
128,m,r,c,0,3.214,11.496,Car,True
129,m,r,c,0,2.714,0.0,Artificial,False
129,m,r,c,0,2.714,34.101,Van,True
130,f,r,c,0,23.697,2.121000364,Car,False
130,f,r,c,0,23.697,1.139000058,Car,False
130,f,r,c,0,23.697,2.075003833,Car,False
130,f,r,c,0,23.697,4.289998859,Car,False
130,f,r,c,0,23.697,2.106003463,Car,False
130,f,r,c,0,23.697,3.212998062,Car,False
130,f,r,c,0,23.697,1.466990635,Van,False
130,f,r,c,0,23.697,1.653008536,Van,False
130,f,r,c,0,23.697,1.559992303,Van,False
130,f,r,c,0,23.697,13.025,Car,True
131,m,r,c,0,0.842,0.122995471,Car,False
131,m,r,c,0,0.842,10.841,Car,True
132,m,r,c,0,2.605,0.186000561,Car,False
132,m,r,c,0,2.605,7.986,Car,True
133,f,r,c,0,3.292,0.733000209,Car,False
133,f,r,c,0,3.292,7.222,Car,True
134,f,r,c,1,13.088,3.041997179,HGV,False
134,f,r,c,1,13.088,1.38699988,MTW,False
