Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
139,f,r,c,1,12.792,1.435005292,Car,False
140,f,r,c,0,14.18,7.877999917,Car,False
142,m,r,c,0,5.725,5.724001099,Car,False
143,m,r,c,0,7.207,4.273003136,Car,False
144,f,r,c,0,19.282,5.787006189,Van,False
145,m,r,c,0,1.326,0.996999984,Car,False
146,f,r,c,0,3.432,0.0,Artificial,False
147,m,r,c,0,2.355,0.763004069,Car,False
148,m,r,c,0,2.106,0.0,Artificial,False
150,f,r,c,0,1.95,1.807999407,Van,False
151,m,r,c,0,2.839,0.0,Artificial,False
152,m,r,c,0,8.923,7.657997851,Van,False
153,f,r,c,0,3.074,1.964996383,Car,False
154,f,r,c,1,10.967,1.99599879,Car,False
155,m,r,c,0,13.806,1.886997168,Car,False
156,m,r,c,1,23.54,7.052003592,Van,False
157,m,r,c,0,17.331,4.195994139,Van,False
159,m,r,c,0,1.825,0.514001195,Car,False
160,m,r,c,0,1.809,0.0,Artificial,False
162,m,r,c,0,16.068,5.56900017,Van,False
163,f,r,c,0,2.402,2.183002402,Car,False
164,f,r,c,0,10.265,4.414000158,Car,False
165,m,r,c,0,3.619,0.0,Artificial,False
166,m,r,c,0,2.589,0.0,Artificial,False
167,m,r,c,0,5.99,0.0,Artificial,False
169,m,r,c,0,2.902,1.511994173,Car,False
170,m,r,c,2,17.316,0.949997624,Car,False
171,m,r,c,1,20.639,0.0,Artificial,False
172,m,r,c,1,25.864,12.26199344,Car,False
174,m,r,c,0,6.958,0.887998362,Car,False
175,m,r,c,0,11.419,6.411002,Car,False
176,f,r,c,1,13.463,7.801992242,Car,False
178,f,r,c,1,10.031,7.521004026,Car,False
179,f,r,c,0,12.589,6.147997995,Car,False
180,m,r,c,0,6.49,4.276000504,MTW,False
181,m,r,c,0,16.942,4.869006743,Car,False
182,m,r,c,0,1.513,0.0,Artificial,False
184,f,r,c,0,13.837,6.163004954,Car,False
186,m,r,c,0,9.797,3.886000608,Car,False
187,f,r,c,0,1.436,0.0,Artificial,False
188,m,r,c,0,1.06,0.125004351,Disturbance,False
189,m,r,c,0,0.952,0.0,Artificial,False
190,f,r,c,0,1.466,0.0,Artificial,False
191,m,r,c,0,2.917,0.0,Artificial,False
192,m,r,c,0,1.232,0.0,Artificial,False
193,m,r,c,0,7.301,2.031001617,Car,False
194,f,r,c,0,3.884,2.341993694,Car,False
195,m,r,c,0,2.761,0.0,Artificial,False
196,m,r,c,0,3.026,1.717997884,Car,False
197,m,r,c,0,1.701,0.0,Artificial,False
198,f,r,c,0,12.246,0.0,Artificial,False
201,m,r,c,0,4.181,1.263008639,MTW,False
202,m,r,c,0,6.771,0.0,Artificial,False
203,f,r,c,1,5.679,5.650002306,Car,False
204,m,r,c,0,7.207,2.326996793,Car,False
205,m,r,c,0,5.803,0.0,Artificial,False
206,m,r,c,2,10.359,2.43399404,Car,False
207,m,r,c,1,7.987,2.248994802,MTW,False
208,m,r,c,1,19.298,9.843006358,Car,False
209,m,r,c,0,6.146,1.653994247,Car,False
210,f,r,c,1,8.159,0.0,Artificial,False
212,m,r,c,0,0.31201,0.0,Artificial,False
213,m,r,c,0,15.803,5.774000828,Disturbance,False
